year,state,state_po,total_votes,electoral_votes,democrat_votes,republican_votes,other_votes,democrat_pct,republican_pct,other_pct,more_democrat,winning_party,candidate_name,party,democrat_electoral_votes,republican_electoral_votes
1976,Alabama,AL,1182850,9,659170,504070,19610,0.5572726888447394,0.42614870862746757,0.016578602527793043,0.13112398021727178,democrat,Jimmy Carter,democrat,9,0
1980,Alabama,AL,1341929,9,636730,654192,51007,0.47448859067804633,0.4875012016284021,0.038010207693551595,-0.013012610950355774,republican,Ronald Reagan,republican,0,9
1984,Alabama,AL,1441713,9,551899,872849,16965,0.38280781265064545,0.6054249354760621,0.011767251873292396,-0.22261712282541668,republican,Ronald Reagan,republican,0,9
1988,Alabama,AL,1378476,9,549506,815576,13394,0.39863298309147205,0.5916504893810266,0.009716527527501385,-0.19301750628955455,republican,George H.W. Bush,republican,0,9
1992,Alabama,AL,1688060,9,690080,804283,193697,0.4088006350485172,0.4764540359939813,0.11474532895750152,-0.06765340094546407,republican,George H.W. Bush,republican,0,9
1996,Alabama,AL,1534349,9,662165,769044,103140,0.4315608769582409,0.5012184320516389,0.06722069099012024,-0.06965755509339794,republican,Robert Dole,republican,0,9
2000,Alabama,AL,1666272,9,692611,941173,32488,0.4156650294789806,0.5648375535326765,0.019497416988342838,-0.1491725240536959,republican,George W. Bush,republican,0,9
2004,Alabama,AL,1883415,9,693933,1176394,13088,0.36844402322377173,0.6246068975770077,0.006949079199220565,-0.256162874353236,republican,George W. Bush,republican,0,9
2008,Alabama,AL,2099819,9,813479,1266546,19794,0.38740434294574916,0.603169130291706,0.009426526762544771,-0.2157647873459569,republican,John McCain,republican,0,9
2012,Alabama,AL,2074338,9,795696,1255925,22717,0.3835903309875247,0.6054582232982282,0.010951445714247148,-0.22186789231070347,republican,Mitt Romney,republican,0,9
2016,Alabama,AL,2123372,9,729547,1318255,75570,0.3435794575797364,0.6208309236440906,0.03558961877617299,-0.27725146606435425,republican,Donald J. Trump,republican,0,9
1976,Alaska,AK,123574,3,44058,71555,7961,0.3565313091750692,0.5790457539611893,0.06442293686374156,-0.2225144447861201,republican,Gerald Ford,republican,0,3
1980,Alaska,AK,158445,3,41842,86112,30491,0.2640790179557575,0.5434819653507527,0.19243901669348987,-0.27940294739499516,republican,Ronald Reagan,republican,0,3
